title,location,company,salary
Senior Data Scientist - Analytics,"Seattle, WA 98104 (First Hill area)",Textio,
Senior Data Scientist,"Seattle, WA",Cambia Health,
Data Scientist,"Redmond, WA",Facebook,"$92,000 - $136,000 a year (Indeed est.)"
"Data Scientist, Analytics","Seattle, WA 98101 (Downtown area)",Facebook,"$120,000 - $176,000 a year (Indeed est.)"
Data Visualization Engineer,"Seattle, WA 98101 (Downtown area)",Zillow Group,
Data Analytics Intern,"Seattle, WA",Wunderman,
"Data Scientist, Alexa Shopping NLU","Seattle, WA","Amazon.com Services, Inc.",
Data Scientist,"Bellevue, WA",T-Mobile,
"Data Scientist, Alexa Shopping","Seattle, WA","Amazon.com Services, Inc.",
Sr Data Scientist,"Bellevue, WA",T-Mobile,
UX Data Scientist,"Seattle, WA",Qualtrics,
"Data Scientist, Automated Benchmarking","Seattle, WA","Amazon.com Services, Inc.",
"Data Scientist, Engineering","Seattle, WA",Google,
"Data Scientist, Alexa Shopping NLU","Seattle, WA","Amazon.com Services, Inc.",
"Senior Data Scientist, Machine Learning","Seattle, WA 98101 (Downtown area)","ExtraHop Networks, Inc.",
Data Scientist - Amazon Music NLU,"Seattle, WA","Amazon.com Services, Inc.",
"Data Scientist, Senior Pricing Manger","Kirkland, WA 98033 (Highlands area)",Donuts Inc,
"data scientist, Retail Operations, SSC - Seattle, WA","Seattle, WA",Starbucks,
Research Intern – Personal Information Management,"Redmond, WA",Microsoft,
Data Scientist,"Bellevue, WA",Intellectual Ventures Management,
Data Scientist,"Renton, WA",PACCAR,
Mid-Level Data Analyst,"Bellevue, WA",BOEING,
Applied Scientist - Video Advertising (Machine Learning & Da...,"Seattle, WA","Amazon.com Services, Inc.",
"Data Scientist, Analytics - Developer Ecosystem","Seattle, WA 98101 (Downtown area)",Facebook,
"Data Scientist, Growth & Analytics","Seattle, WA 98101 (Downtown area)",Facebook,
Research Associate I - Bench,"Seattle, WA",Seattle Children’s,
"Data Scientist, AGL Exports","Seattle, WA","Amazon.com Services, Inc.",
Sr Data Scientist,"Bellevue, WA",T-Mobile,
St. Data Scientist,"Seattle, WA","Amazon.com Services, Inc.",
Researcher,"Redmond, WA",Microsoft,
"Entry-Level Environment, Health and Safety Staff Analyst","Tukwila, WA",BOEING,
Environmental Aide,"Seattle, WA 98168",King County,$19.43 - $24.63 an hour
Senior-Data Analysis,"Bothell, WA",AT&T,
Software Engineer Intern - Seattle,"Seattle, WA 98104 (First Hill area)",CDK Global,
Researcher – Causality and Machine Learning,"Redmond, WA",Microsoft,
Research Analyst,"Seattle, WA 98101 (Downtown area)",Cushman & Wakefield,
"Data Scientist, Alexa Shopping","Seattle, WA","Amazon.com Services, Inc.",
"Research Technician I, DNA Sequencing Technology and Microbi...","Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,$16 - $23 an hour (Indeed est.)
Senior Data Scientist - Analytics,"Seattle, WA 98104 (First Hill area)",Textio,
"Data Management Analyst, Infectious Disease Sciences","Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Research Intern- Genomics,"Redmond, WA",Microsoft,
Data Scientist / Data Engineer,"Bellevue, WA",Thunder,"$104,000 - $153,000 a year (Indeed est.)"
Data Scientist,"Seattle, WA",TenPoint7,"$105,000 - $156,000 a year (Indeed est.)"
Customer Solutions Data Scientist,"Seattle, WA 98107 (Ballard area)",Tableau,"$115,000 - $169,000 a year (Indeed est.)"
Security Data Scientist,"Redmond, WA",Microsoft,"$114,000 - $168,000 a year (Indeed est.)"
Research Intern - Machine Teaching,"Redmond, WA",Microsoft,
Business Intelligence Engineer I - TRMS Machine Learning,"Seattle, WA","Amazon.com Services, Inc.",
"Data Scientist, Machine Learning","Seattle, WA","Amazon Mechanical Turk, Inc.",
Intern - Economics,"Seattle, WA","Amazon.com Services, Inc.",
Power Plant Operator A,"Seattle, WA",BOEING,
Visiting Investigator,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
IRB Coordinator,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Field Scientist,"Mountlake Terrace, WA 98043",Terracon,
Data Scientist - Amazon Restaurants,"Seattle, WA","Amazon.com Services, Inc.",
Workplace Analytics Data Scientist,"Redmond, WA",Microsoft,"$92,000 - $135,000 a year (Indeed est.)"
Systems and Data Analyst,"Renton, WA",BOEING,"$68,000 - $103,000 a year (Indeed est.)"
Machine Learning Intern,"Seattle, WA",Parametric,
"Data Scientist, Automated Benchmarking","Seattle, WA","Amazon.com Services, Inc.",
Healthcare Payer Data Scientist Consultant,"Seattle, WA 98104 (First Hill area)",Accenture,"$117,000 - $173,000 a year (Indeed est.)"
Principal Data Scientist,"Bellevue, WA",T-Mobile,
"Data Scientist, Alexa Shopping ASR","Seattle, WA","Amazon.com Services, Inc.",
Senior Data Journalist,"Seattle, WA 98104 (First Hill area)",Textio,
"Data Scientist - Policy Abuse, TRMS","Seattle, WA","Amazon.com Services, Inc.",
"Data Scientist Technical Lead, Google Maps","Seattle, WA",Google,"$95,000 - $141,000 a year (Indeed est.)"
Principal Data Scientist,"Redmond, WA",Microsoft,
Data Engineer,"Bellevue, WA",T-Mobile,
Research Intern - Information and Data Sciences,"Redmond, WA",Microsoft,"$80,000 - $118,000 a year (Indeed est.)"
Computer Scientist,"Seattle, WA",Federal Bureau of Investigation,
"Expereinced, Intro Field Service Rep-Commercial","Seattle, WA",BOEING,
"Decision Scientist, Lead – Data Enablement, Analytics & Insi...","Seattle, WA 98134 (Industrial Complex area)",Starbucks,
Visiting Researcher,"Kent, WA",Blue Origin,
"Data Scientist, Growth & Analytics","Seattle, WA 98101 (Downtown area)",Facebook,
Behavioral Scientist,"Seattle, WA 98101 (Downtown area)",Zillow Group,
Research Scientist I - EX,"Seattle, WA",Seattle Children’s,
Data Scientist - Delphi,"Seattle, WA","Amazon.com Services, Inc.",
Research Analyst,"Seattle, WA 98101 (Downtown area)",Cushman & Wakefield,
"Data Scientist, Marketing Science R&D","Seattle, WA 98101 (Downtown area)",Facebook,
Senior Data Scientist,"Seattle, WA",Convoy,
Senior Data Scientist,"Bellevue, WA",BOEING,
Senior Data Scientist (Zillow Offers),"Seattle, WA 98101 (Downtown area)",Zillow Group,
Environmental Scientist,"Bellevue, WA 98007 (Lake Hills area)",Exponent,
"Data Management Analyst, Infectious Disease Sciences","Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
"Research Intern - Data Management, Exploration and Mining","Redmond, WA",Microsoft,
SAP Concur iXp intern- Customer Experience Transformation Da...,"Bellevue, WA",SAP,
RESEARCH SCIENTIST/ENGINEER - ASSISTANT,"Seattle, WA",University of Washington,
Data Architect,"Seattle, WA 98104 (First Hill area)",CDK Global,
Senior Data Scientist,"Seattle, WA","PreCyte, Inc.",
Worker's Compensation Administrator,"Everett, WA 98204 (Holly area)",BOEING,
Technology Associate,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
"senior data scientist, Supply Chain Advanced Analytics, SSC...","Seattle, WA 98105 (Ravenna - U District area)",Starbucks,
"Data Scientist, AGL Exports","Seattle, WA","Amazon.com Services, Inc.",
CORE - Data Scientist,"Seattle, WA 98115 (Wedgwood area)",Logic20/20,
Applied Scientist,"Seattle, WA","Amazon Web Services, Inc.",
POPULATION COORDINATOR (24-40 HOURS PER WEEK),"Seattle, WA",University of Washington,"$2,850 - $3,782 a month"
Data Analyst,"Redmond, WA",Microsoft,
Analyst - Consumer Brand Research,"Seattle, WA",Hall & Partners,
"Optical Scientist, Advanced Optics","Redmond, WA",Facebook,
Business Intelligence Engineer - Amazon Advertising,"Seattle, WA","Amazon.com Services, Inc.",
Research Intern – Security Research Team,"Redmond, WA",Microsoft,
"Senior Data Scientist, Operations (Zillow Offers)","Seattle, WA 98101 (Downtown area)",Zillow Group,
Quantitative Financial Analyst,"Tukwila, WA",BECU,
Applied Scientist,"Seattle, WA","Amazon.com Services, Inc.",
"Business Analyst, Customer Insights & Research","Seattle, WA","Amazon.com Services, Inc.",
"Data Scientist, ATS","Seattle, WA","Amazon.com Services, Inc.",
Principal Data Scientist,"Redmond, WA",Microsoft,
Data Scientist,"Redmond, WA",Coso IT,"$93,000 - $137,000 a year (Indeed est.)"
"Data Scientist Technical Lead, Google Maps","Seattle, WA",Google,"$95,000 - $141,000 a year (Indeed est.)"
Senior Data Scientist,"Bothell, WA 98021",Allstate,
"Decision Scientist, Lead – Data Enablement, Analytics & Insi...","Seattle, WA",Starbucks,
Research Scientist IV,"Seattle, WA",Seattle Children’s,
Research Scientist/Software Engineer,"Seattle, WA 98109 (Westlake area)",Institute for Systems Biology,
"Google AI Resident, 2019 Start (Fixed-Term Employee)","Seattle, WA",Google,
Data Engineer,"Kirkland, WA",Echodyne,
"Applied Scientist, Machine Learning","Seattle, WA","Amazon.com Services, Inc.",
2019 Technology Internship (Analytics),"Bellevue, WA",T-Mobile,
"Scientist, Pharmaceutical Sciences","Bothell, WA",Seattle Genetics,
Principal Data Scientist,"Seattle, WA 98101 (Downtown area)",DocuSign,
"Data Scientist, Analytics - Ads Manager","Seattle, WA 98101 (Downtown area)",Facebook,
Data Science / Machine Learning Engineer,"Renton, WA 98057",Providence Health & Services,
Mid-Level Data Analyst,"Bellevue, WA",BOEING,
"Google AI Resident, 2019 Start (Fixed-Term Employee)","Seattle, WA",Google,
Data Scientist—Demand Forecasting,"Seattle, WA","Amazon.com Services, Inc.",
Data Scientist / Data Engineer,"Bellevue, WA",Thunder,
"Experience Management Scientist, Employee Experience","Seattle, WA",Qualtrics,
Staff Geologist /Environmental Scientist,"Seattle, WA 98194 (Downtown area)",AECOM,
Quantum Solution Scientist,"Redmond, WA",Microsoft,
CTO Residency Program,"Seattle, WA 98103 (Green Lake - Wallingford area)",The Allen Institute for Artificial Intelligence,
"Research Intern - Data Management, Exploration and Mining","Redmond, WA",Microsoft,
ADMINISTRATIVE SPECIALIST,"Seattle, WA",University of Washington,
"Data Scientist, ATS","Seattle, WA","Amazon.com Services, Inc.",
Senior Data Scientist,"Seattle, WA 98101 (Downtown area)",Arvato Digital Services LLC - Arvato FS USA,
Research Scientist,"Seattle, WA","Amazon.com Services, Inc.",
2019 Technology Internship (Analytics),"Bellevue, WA",T-Mobile,
Legal Administrator C,"Renton, WA",BOEING,
Researcher,"Redmond, WA",Microsoft,
Applied Scientist Summer Internship - Natural Language Proce...,"Seattle, WA","Amazon.com Services, Inc.",
Program Officer,"Seattle, WA",The Paul G. Allen Frontiers Group,
"Data Scientist, Analytics - Ads Manager","Seattle, WA 98101 (Downtown area)",Facebook,
"Decision Scientist, Lead – Data Enablement, Analytics & Insi...","Seattle, WA 98134 (Industrial Complex area)",Starbucks,
"Data Engineer, Data Science","Seattle, WA",Convoy,
Methods Process Analyst,"Everett, WA 98204 (Holly area)",BOEING,
Data Scientist,"Seattle, WA 98101 (Downtown area)","ExtraHop Networks, Inc.",
"Data Scientist, Analytics - NLP Search","Seattle, WA 98101 (Downtown area)",Facebook,
Cellular Production Associate,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
"Operations Research Manager, Supply Chain Analytics&Ops Rese...","Bellevue, WA",T-Mobile,
Designer,"Bellevue, WA 98004 (Downtown area)",Microsoft,
Provisioning Specialist,"Tukwila, WA",BOEING,
Software Engineer - Entry Level,"Everett, WA 98204 (Holly area)",BOEING,"$74,000 - $111,000 a year (Indeed est.)"
Research Public Health Analyst,"Seattle, WA",RTI International,
"Technical Trainer, Data and Machine Learning, Google Cloud","Seattle, WA",Google,
"Support Analyst, Research","Seattle, WA","Deltek, Inc.",
"Associate Scientist, Viral Vector Process Development","Seattle, WA",Celgene,
Business Analyst 2 - Consumer Research and Insights,"Seattle, WA",Nordstrom,"$65,000 - $97,000 a year (Indeed est.)"
Research Associate I - Bench,"Seattle, WA",Seattle Children’s,
Intern - Economics,"Seattle, WA","Amazon.com Services, Inc.",
Mid-Level Technical Data Designer,"Tukwila, WA",BOEING,
"Director, Data Scientist, Natural Language Processing","Seattle, WA 98127 (Downtown area)",KPMG,"$85,000 - $126,000 a year (Indeed est.)"
Researcher – Causality and Machine Learning,"Redmond, WA",Microsoft,
Data Engineer II,"Mountlake Terrace, WA",Premera Blue Cross,
Operations Research Scientist Intern,"Seattle, WA","Amazon.com Services, Inc.",
Software Engineer,"Redmond, WA",Microsoft,
Quantum Solution Scientist,"Redmond, WA",Microsoft,
Senior Data Scientist,"Seattle, WA",Amazon Services LLC,
Lead Data Scientist,"Renton, WA",PACCAR,
Quantitative Risk Analyst,"Seattle, WA",Russell Investments,
Applied Scientist - Machine Learning,"Bellevue, WA 98004 (Downtown area)",Microsoft,
Data Engineer II,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Process Comparability Scientist,"Seattle, WA",Celgene,
Research Scientist/Software Engineer,"Seattle, WA 98109 (Westlake area)",Institute for Systems Biology,
Test & Evaluation Technical Services Specialist,"Seattle, WA",BOEING,
Applied Scientist,"Seattle, WA",Ring Inc.,
Data Scientist - Payment Products,"Seattle, WA","Amazon.com Services, Inc.",
Operations Research Scientist Intern,"Seattle, WA","Amazon.com Services, Inc.",
Data Scientist for New Seller Success,"Seattle, WA","Amazon.com Services, Inc.",
"Senior Data Scientist, Consumer Analytics","Seattle, WA 98101 (Downtown area)",Zillow Group,
Senior Data Scientist,"Bellevue, WA",BOEING,
"Applied Scientist, Alexa AI","Seattle, WA","Amazon.com Services, Inc.",
Developer/Analyst,"Seattle, WA 98104 (First Hill area)",Bank of America,
"Data Scientist - Online Safety, Security","Seattle, WA 98101 (Downtown area)",Facebook,
Experienced Office Administrator,"Tukwila, WA",BOEING,
Applied Scientist Internship - Computer Vision,"Seattle, WA","Amazon.com Services, Inc.",
CORE - Data Scientist,"Seattle, WA 98115 (Wedgwood area)",Logic20/20,
"Mgr. Data Science, Alexa Shopping","Seattle, WA","Amazon.com Services, Inc.",
Application Support Engineer,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
CORE - Data Engineer,"Seattle, WA 98115 (Wedgwood area)",Logic20/20,
Senior Data Scientist,"Seattle, WA 98101 (Downtown area)",Arvato Digital Services LLC - Arvato FS USA,
Software Engineer - Data Flow,"Seattle, WA 98101 (Downtown area)",Facebook,
Visiting Researcher,"Kent, WA",Blue Origin,
Operations Research/Simulation Manager,"Bellevue, WA",T-Mobile,
Virtual Implementation Consultant I,"Seattle, WA 98101 (Downtown area)",CDK Global,
Research Intern - Natural Language Processing,"Bellevue, WA 98004 (Downtown area)",Microsoft,
Mid-Level Supply Base Management Specialist,"Seattle, WA",BOEING,
Visiting Investigator,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
"Research Associate, Statistical Genomics","Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
"Manager, Data Scientist, Machine Learning","Seattle, WA 98127 (Downtown area)",KPMG,"$95,000 - $141,000 a year (Indeed est.)"
Data & Applied Scientist Manager,"Redmond, WA",Microsoft,"$91,000 - $135,000 a year (Indeed est.)"
Principal Data Scientist,"Seattle, WA","Amazon.com Services, Inc.",
CONTACT CENTER REPRESENTATIVE 1,"Seattle, WA",University of Washington,"$3,266 - $4,365 a month"
"Sr. Associate, Data Scientist, Machine Learning","Seattle, WA 98127 (Downtown area)",KPMG,
Research Scientist,"Seattle, WA 98107 (Ballard area)",Tableau,
Sr. Data Engineer,"Seattle, WA","Amazon.com Services, Inc.",
Senior Data Scientist,"Seattle, WA 98164 (Downtown area)",Cray,
Data Operations Manager III,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Applied Scientist Summer Internship - Robotics,"Seattle, WA","Amazon.com Services, Inc.",
Senior Data Scientist,"Seattle, WA",Convoy,
Research Scientist,"Bellevue, WA",Intellectual Ventures Management,
Principal Data & Applied Scientist Manager,"Redmond, WA",Microsoft,
"Sr. Data Scientist, Sponsored Products","Seattle, WA","Amazon.com Services, Inc.",
Data Scientist - Amazon Business Payments,"Seattle, WA","Amazon.com Services, Inc.",
"Engineering Resident, University Graduate (Fixed-Term Employ...","Kirkland, WA 98033 (Highlands area)",Google,
Data Engineer,"Bellevue, WA",T-Mobile,
BIOINFORMATICS SCIENTIST,"Seattle, WA",University of Washington,
Applied Scientist/Engineer,"Bellevue, WA 98004 (Downtown area)",Microsoft,
"Data Engineer - AWS Database Services, Analytics and Machine...","Seattle, WA","Amazon.com Services, Inc.",
Principal Data Scientist,"Seattle, WA","Amazon.com Services, Inc.",
"Applied Scientist, Machine Learning","Seattle, WA","Amazon.com Services, Inc.",
Entry-Level Industrial Engineer,"Everett, WA 98204 (Holly area)",BOEING,
Translational Research Trainee,"Seattle, WA 98109 (Westlake area)",Institute for Systems Biology,
Operations Research/Simulation Manager,"Bellevue, WA",T-Mobile,
"Research Scientist, Computer Vision","Seattle, WA 98101 (Downtown area)",Facebook,
"Manager, Data Scientist, Machine Learning","Seattle, WA 98127 (Downtown area)",KPMG,
Sr. Data Scientist,"Seattle, WA",Prime Now LLC,
Data & Applied Scientist Manager,"Redmond, WA",Microsoft,
Principal Data Scientist,"Seattle, WA","Amazon.com Services, Inc.",
Data/BI Engineer,"Seattle, WA","Amazon.com Services, Inc.",
"Sr. Associate, Data Scientist, Machine Learning","Seattle, WA 98127 (Downtown area)",KPMG,
Visiting Investigator,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Senior Data Scientist (Zillow Offers),"Seattle, WA 98101 (Downtown area)",Zillow Group,
Research Scientist III - Sytems Biologist,"Seattle, WA",Seattle Children’s,
RESEARCH ANALYST,"Seattle, WA",University of Washington,
"Scientist, Pharmaceutical Sciences","Bothell, WA","Seattle Genetics, Inc.",
"Business Intelligence Engineer, Amazon Payment Products","Seattle, WA",Amazon Services LLC,
Manufacturing Operations Analyst,"Renton, WA",BOEING,
AI and Analytics Research Software Engineer,"Seattle, WA 98164 (Downtown area)",Cray,
Sr. Data Scientist - ML Platform,"Seattle, WA","Amazon.com Services, Inc.",
CORE - Data Engineer,"Seattle, WA 98115 (Wedgwood area)",Logic20/20,
"Software Engineer, Machine Learning","Kirkland, WA 98033 (Highlands area)",Google,
Software Engineer,"Redmond, WA",Microsoft,
"Data Scientist Technical Lead, Google Maps","Seattle, WA",Google,
Healthcare Payer Data Scientist Manager,"Seattle, WA 98104 (First Hill area)",Accenture,
"Data Scientist, Natural Language Processing (NLP), descripti...","Seattle, WA","Amazon.com Services, Inc.",
Business Planner,"Redmond, WA",Microsoft,
Product Manager - Customer Self-Service Products,"Seattle, WA","Amazon.com Services, Inc.",
QA Associate II,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Mid-Level Transportation Analyst,"Renton, WA",BOEING,
Rentals Integration Analyst,"Kent, WA 98032",REI,
"Staff Scientist, Immunotherapy","Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
"Data Science Instructor, Senior Data Scientist","Seattle, WA",Galvanize,"$134,000 - $197,000 a year (Indeed est.)"
SQL Server Operational DBA,"Seattle, WA 98104 (First Hill area)",CDK Global,"$92,000 - $138,000 a year (Indeed est.)"
"Data Engineer, Payments ML","Seattle, WA","Amazon.com Services, Inc.",
Applied Scientist Winter/Fall Internship - Natural Language...,"Seattle, WA","Amazon.com Services, Inc.",
"Mgr. Data Science, Alexa Shopping","Seattle, WA","Amazon.com Services, Inc.",
Application Support Engineer,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
"Research Associate, Statistical Genomics","Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Machine Learning Scientist - Prime Video Homepage Optimizati...,"Seattle, WA","Amazon.com Services, Inc.",
Business Intelligence Engineer - Prime Decision Sciences,"Seattle, WA","Amazon.com Services, Inc.",
Research Project Coordinator I,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
QA Associate II,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Business Planner,"Redmond, WA",Microsoft,
"PATIENT ACCOUNT REPRESENTATIVE SUPERVISOR, MCSS - PAT FIN SV...","Seattle, WA",University of Washington,"$3,956 - $5,320 a month"
"Data Scientist Technical Lead, Google Maps","Seattle, WA",Google,
Mid-Level Supply Base Management Specialist,"Seattle, WA",BOEING,
Principle Applied Scientist,"Bellevue, WA 98004 (Downtown area)",Microsoft,
"Research Scientist, Geospatial Core Code","Seattle, WA",Institute for Health Metrics and Evaluation - Facu...,
Senior Data Scientist,"Seattle, WA",Rover,
Business Operations/Reporting Analyst,"Seattle, WA 98104 (First Hill area)",CDK Global,
"Applied Scientist, SSPA","Seattle, WA","Amazon.com Services, Inc.",
Lead Data Scientist Job,"Seattle, WA 98109 (Westlake area)",Novo Nordisk,
Rentals Integration Analyst,"Kent, WA 98032",REI,
Applied Scientist Summer Internship - Robotics,"Seattle, WA","Amazon.com Services, Inc.",
Developer/Analyst,"Seattle, WA 98104 (First Hill area)",Bank of America,
"Program Mgr, Delivery Tech","Seattle, WA","Amazon.com Services, Inc.",
EVALUATION SPECIALIST,"Seattle, WA",University of Washington,
Product Manager - Customer Self-Service Products,"Seattle, WA","Amazon.com Services, Inc.",
Sr. Data Scientist,"Seattle, WA",Amazon Services LLC,
Customer Training Specialist 4,"Tukwila, WA",BOEING,
"Staff Scientist, Immunotherapy","Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
"Research Technician I, Immunology","Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Market Research Analyst - Analyst Development Program,"Seattle, WA",Ipsos North America,
Postdoctoral Fellow (KPWHRI),"Seattle, WA",Kaiser Permanente,
Applied Scientist/NLP,"Seattle, WA","Amazon.com Services, Inc.",
Data Science Lead - Brand Measurement - Sponsored Ads,"Seattle, WA",Amazon Services LLC,
Reports Programmer,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Applied Scientist Winter/Fall Internship - Natural Language...,"Seattle, WA","Amazon.com Services, Inc.",
Data Science Manager,"Seattle, WA",Rover,
"Applied Machine Learning Researcher, Facebook Reality Labs (...","Redmond, WA",Facebook,
Member Success Advocate,"Seattle, WA 98104 (First Hill area)",Arivale,
Bioinformatics Analyst I,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Sr Data Scientist,"Bellevue, WA",eBay Inc.,
Quantitative Risk Analyst,"Seattle, WA",Russell Investments,
Data Architect,"Seattle, WA 98104 (First Hill area)",CDK Global,
Data Science Manager,"Seattle, WA",Rover,"$102,000 - $150,000 a year (Indeed est.)"
"Scientist, Pharmaceutical Sciences","Bothell, WA",Seattle Genetics,
Recruiter - Data and Applied Science / HR4HR,"Seattle, WA","Amazon.com Services, Inc.",
"Data Scientist Technical Lead, Google Maps","Seattle, WA",Google,"$95,000 - $141,000 a year (Indeed est.)"
"Business Intelligence Engineer, Amazon Payment Products","Seattle, WA",Amazon Services LLC,
Clinical Data Manager,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
"Optical Scientist, Advanced Optics","Redmond, WA",Facebook,
Recruiter - Data and Applied Science / HR4HR,"Seattle, WA","Amazon.com Services, Inc.",
Senior Data Visualization Engineer,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
RESEARCH CONSULTANT,"Seattle, WA",University of Washington,
"Research Scientist, (Conversational AI Group)","Seattle, WA 98101 (Downtown area)",Facebook,
Worker's Compensation Administrator,"Everett, WA 98204 (Holly area)",BOEING,
Research Scientist III - Sytems Biologist,"Seattle, WA",Seattle Children’s,
Applied Scientist - Delivery Experience,"Seattle, WA","Amazon.com Services, Inc.",
Sr. Data Engineer,"Seattle, WA",Ring Inc.,
"Data Science Instructor, Senior Data Scientist","Seattle, WA",Galvanize,"$134,000 - $197,000 a year (Indeed est.)"
"Associate Scientist, Analytical Development AAV","Seattle, WA",Celgene,
SDE I,"Seattle, WA","Amazon.com Services, Inc.",
Product Development Manager– Testing and Integration,"Redmond, WA",Facebook,
Market Research Analyst - Analyst Development Program,"Seattle, WA",Ipsos North America,
"Sr. Data Engineer, Ice Team (Systems Intelligence)","Seattle, WA","Amazon.com Services, Inc.",
Scientist I,"Seattle, WA 98102 (Capitol Hill area)",Infectious Disease Research Institute,
Junior System Design & Integration Specialist,"Bellevue, WA",BOEING,
Behavioral Scientist,"Seattle, WA 98101 (Downtown area)",Zillow Group,
