title,location,company,salary
"AST, Crew Station Systems",Houston,US National Aeronautics and Space Administration,114577.5
"Director, Machine Learning Data Scientist",Houston,KPMG,122500.0
Strategic Communications Coordinator,Houston,HDR,47500.0
Data Science Consultant (Resources),Houston,Accenture,130000.0
Postdoctoral Associate,Houston,Baylor College of Medicine,55000.0
"Director, AI and NLP Data Scientist",Houston,KPMG,101000.0
Java Developer,Houston,Baylor College of Medicine,106820.0
Front End Web Developer,Houston,"Two Sigma Investments, LLC.",110000.0
Flow Cytometry Specialist II,Houston,Baylor College of Medicine,70000.0
Senior Product Manager – Big Data and Analytics,Houston,HP,132500.0
"Sr Software Engineer - Houston, TX",Houston,Baker Hughes,124000.0
MELANOMA MEDICAL ONCOLOGY- RESEARCH NURSE,Houston,MD Anderson Cancer Center,81500.0
Market Research Analyst,Houston,OneSource Building Technologies,60500.0
DevOps Specialist - Platform Team,Houston,MRI Technologies,120000.0
Front-End Developer (React),Houston,Expero,113500.0
DevOps Engineer,Houston,Arundo Analytics,109000.0
Software Developer,Houston,"SmartPark, LLC",91500.0
Full Stack Software Engineer,Houston,Arundo Analytics,126000.0
Software Engineer - UI Focus,Houston,Arundo Analytics,90000.0
Research Engineering/ Scientist Assistant,Austin,University of Texas at Austin,30000.0
Research Associate - Quantitative Analyst Modeler,Austin,University of Texas at Austin,75000.0
"Research Engineering Scientist Assistant, LIVESTRONG Cancer...",Austin,University of Texas at Austin,30000.0
"Research Engineering Scientist Associate IV, Neurology",Austin,University of Texas at Austin,47484.0
Digital Signal Processing Scientist,Austin,University of Texas at Austin,105998.0
"Research Engineering/ Scientist Assistant, Brumback/Howard l...",Austin,University of Texas at Austin,28000.0
R&D Acoustics Engineering Scientist,Austin,University of Texas at Austin,105998.0
"Data Scientist - Autonomous Buildings - Austin, TX",Austin,Siemens,148500.0
"Senior Manager, Data Science",Austin,"RetailMeNot, Inc.",140000.0
Software Engineer Associate,Austin,University of Texas at Austin,75000.0
Senior Research Software Engineer (Engineering Scientist),Austin,University of Texas at Austin,80000.0
Research Engineering Scientist Associate I (RESA I),Austin,University of Texas at Austin,34008.0
R&D Embedded Design Engineering Scientist,Austin,University of Texas at Austin,105998.0
Software Engineer,Austin,Amne,96000.0
Full Stack Developer,Austin,DELL,104500.0
User Experience Designer,Austin,CDK Global,121000.0
"Sr Software Engineer -Full Stack, Data Product Development",Austin,Visa,123000.0
Solution Software Developer / Architect,Austin,IBM,138500.0
"Commercial Strategy and Planning, Manager",Austin,JUUL Labs,153000.0
Senior Software Engineer - Black Locus,Austin,The Home Depot,124000.0
"PostgresSQL Software Engineer IV in Austin, TX",Austin,CDK Global,108000.0
"Software Engineer, Senior - Semiconductor Test Systems",Austin,National Instruments,131500.0
Lead User Experience Designer,Austin,CDK Global,112000.0
Senior Network Engineer,Austin,Cray,124500.0
DevOps Engineer,Austin,New Knowledge,116500.0
Software Engineer II (Java)- Austin,Austin,CDK Global,97000.0
"Front End Engineer IV (React) - Austin, TX",Austin,CDK Global,115500.0
Development Director (nonprofit),Austin,NumFOCUS,82500.0
Sr. Biomedical Algorithm Engineer,Austin,LVL Technologies,120000.0
Backend Engineer (Javascript),Austin,Suited,110000.0
Senior Software Engineer – Machine Learning,Austin,Victory,126000.0
Senior Full Stack Engineer Python/Java,Austin,Novi Labs,125000.0
Lead Front End Engineer,Austin,Novi Labs,114000.0
Senior Software Engineer - SparkPredict,Austin,SparkCognition,124000.0
"Senior Software Engineer, Machine Learning",Austin,Procore Technologies,118500.0
Data Scientist II-4238,Philadelphia,Comcast,116500.0
DATA SCIENTIST CO-OP,Philadelphia,Comcast,112500.0
Data Scientist/Research Technologist (Level 4) - 1037,Philadelphia,Comcast,108000.0
DATA SCIENTIST,Philadelphia,University of Pennsylvania,113500.0
Data Scientist- Fraud,King of Prussia,"Radial, Inc.",125000.0
Master Data Scientist,Philadelphia,Deloitte,89500.0
Data Scientist- Accelerated Enrollment Solutions (AES),Horsham,PPD,120500.0
Data Scientist,Malvern,Piper Companies,130000.0
Actuarial Data Scientist,Philadelphia,Reliance Standard Life Insurance Company,136000.0
Business Intelligence Data Scientist,Malvern,Siemens,126000.0
Data and Analytics Developer,Malvern,Vanguard,104000.0
Healthcare Data Science Consultant,Philadelphia,Accenture,143500.0
"Data Engineer, Analytics & Behavior Science",Philadelphia,Comcast,139500.0
STAFF MFG & PROCESS DVL ENGINEER,Berwyn,TE Connectivity,128000.0
Data Review Scientist,West Point,Eurofins Lancaster Laboratories Professional Scien...,47000.0
Data Scientist II,Malvern,Vanguard,143500.0
Data Scientist - Health Analytics,Plymouth Meeting,IQVIA,131000.0
Business Development Specialist (Market Research Analyst),Voorhees,Sricom,60000.0
"Software Engineer, Data Science - ACOE",Plymouth Meeting,IQVIA,126000.0
Interdisciplinary Engineer/Operations Research Analyst,Ridley Park,US Department of Defense,92929.0
"Product Owner, Digital Product Managemet",Wilmington,Capital One,108000.0
RESEARCH SPECIALIST A/B,Philadelphia,University of Pennsylvania,37000.0
"Senior Consultant, Data Science - Advanced Analytics",Plymouth Meeting,IQVIA,122500.0
Software Engineer,Philadelphia,Clarivate Analytics,100000.0
Fraud Risk Group Manager (Fraud Advanced Analytics Group Man...,Wilmington,Citi,151500.0
Systems Engineer,Philadelphia,MCKEAN DEFENSE/CABRILLO TECHNOLOGIES,99500.0
Senior Software Engineer,Philadelphia,Clarivate Analytics,118000.0
Fullstack Software Engineer - Analytics Center of Excellence,Plymouth Meeting,IQVIA,125000.0
(PA) Science Teacher – 7th-12th Grade - IMMEDIATE OPENING,Philadelphia,Mastery Charter Schools,52000.0
(PA) Science Teacher – 7th-12th Grade – 2019-2020,Philadelphia,Mastery Charter Schools,53500.0
(PA) Middle School Science Teacher – 6th-8th Grade - IMMEDIA...,Philadelphia,Mastery Charter Schools,52000.0
Data Analysis Lead Specialist,Philadelphia,Chester County Intermediate Unit,37000.0
Senior Data Analyst,Philadelphia,Urban Health Collaborative- Drexel University,85000.0
Data Scientist,Malvern,CubeSmart,112500.0
Data Scientist/Engineer,Philadelphia,CAS Group,121500.0
Data Scientist,Wilmington,4C Health Solutions,106000.0
Research Solutions Analyst,Chesterbrook,The J.G. Wentworth Company,42500.0
Research Associate,Wilmington,Prelude Therapeutics Incorporated,60000.0
Automated Test Engineer,Philadelphia,Sidecar,110000.0
DevOps Engineer,Philadelphia,Childhood Cancer Data Lab,106500.0
Lab-Sarma - Post-Doctoral Fellow,Philadelphia,Wistar,47500.0
Data Engineer Technical Lead,Conshohocken,Jornaya,132500.0
Software Engineer,Philadelphia,IntegriChain,89000.0
Financial Research Analyst,Pittsburgh,The University of Pittsburgh,35100.0
Interdisciplinary,Pittsburgh,US Department of the Army,88152.5
Data Scientist,Cheswick,Vitro,107500.0
Senior Statistician,Pittsburgh,The University of Pittsburgh,45942.0
Research Scientist,Pittsburgh,The University of Pittsburgh,61542.0
Software Engineer,Pittsburgh,Facebook,104000.0
Research Technician,Pittsburgh,The University of Pittsburgh,26832.0
Laboratory Research Specialist,Pittsburgh,The University of Pittsburgh,30810.0
Software Programmer/Developer,West Mifflin,Naval Nuclear Laboratory,103500.0
University Graduate Hire - Software & QA Engineer (SS&S),Cranberry Township,NetApp,109500.0
SUPERVISORY CIVIL ENGINEER,Pittsburgh,US Department of the Army,102882.0
"InterRep,Data Mgt Quant Analysis",Pittsburgh,BNY Mellon,37500.0
Data Scientist,Pittsburgh,International Services Management,103000.0
Data Scientist,Pittsburgh,Global Data Analytics,101500.0
Data Scientist,Pittsburgh,numo,124000.0
Data Scientist,Pittsburgh,Govini,124000.0
Claims Research Analyst,Coraopolis,Paragon Asset Recovery Services,31350.0
Data Scientist,Pittsburgh,Gridwise,108000.0
Postdoc in Machine Learning and Genomics,Pittsburgh,University of Pittsburgh School of Medicine,57500.0
Software Engineer - Data Team,Pittsburgh,ShowClix Inc.,96500.0
Postdoctoral Position in Machine Learning and Genomics,Pittsburgh,University of Pittsburgh School of Medicine,57500.0
Senior Software Developer,Pittsburgh,Invent Analytics,87000.0
Senior Software Engineer - Machine Learning,Pittsburgh,Petuum,128500.0
Electrical Engineer,Saxonburg,Gaven Industries Inc,82500.0
Senior Software Engineer - Autonomy,Warrendale,Neya Systems,111000.0
Senior Software Engineer - Autonomy,Warrendale,Neya Systems LLC,111500.0
Software Engineer - In Test,Pittsburgh,Petuum,109500.0
Senior Software Engineer - Advanced Data Processing,Pittsburgh,Petuum,108000.0
Senior Product Manager,Pittsburgh,Govini,114500.0
Solutions Architect - Healthcare,Pittsburgh,Petuum,122500.0
Eicoff - Data Scientist,Chicago,Ogilvy,120500.0
Data Scientist,Chicago,"KAR Auction Services, Inc.",107500.0
Data Scientist - Decision Sciences Personal Valuation team,Chicago,Epsilon,121000.0
International Data Scientist,Chicago,TransUnion,108000.0
Insurance Data Scientist,Chicago,TransUnion,109000.0
Interdisciplinary,Chicago,US Department of the Army,93546.5
Data Scientist - Advanced Analytics,Chicago,BMO Financial Group,135000.0
Clinical Data Analyst- Quantitative Data Science,Oakbrook Terrace,The Joint Commission,104000.0
Machine Learning - Feature Engineer - GPShopper,Chicago,Synchrony,81000.0
"Intern, StrataDataScience",Chicago,"Strata Decision Technology, L.L.C.",103500.0
Environmental Engineer/Physical Scientist/Life Scientist,Chicago,U.S. Federal Government,93231.5
"Sr. Staff Software Engineer, Backend (Multiple levels)",Chicago,The Climate Corporation,138000.0
Data Scientist Consultant - Midwest region,Chicago,Avanade,124000.0
Backend Software Engineer,Chicago,eSpark Learning,102000.0
Front-End Software Developer,Chicago,IDEO,97500.0
AI Data Science Sr. Manager,Chicago,Accenture,151000.0
Senior Managing Actuary,Chicago,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",124000.0
Telco/Media-Anaytics & Cognitive Data Scientist/Senior Manag...,Chicago,Deloitte,121000.0
"Software Engineer, Backend (Multiple levels)",Chicago,The Climate Corporation,122500.0
Analytics - DevOps Engineer,Chicago,TransUnion,122000.0
Frontend Software Engineer,Chicago,eSpark Learning,85000.0
Cloud Architect,Chicago,Molex,147000.0
Research Coordinator,Chicago,Slover Linett,45500.0
Sales Research Analyst,Chicago,"Harris & Harris, Ltd.",40000.0
"Senior Engineer, Data",Chicago,SpotHero,141500.0
"Postdoctoral Research Scientist, Vertebrate Paleontology",Chicago,The Field Museum,55000.0
Solutions Architect - Application Transformation,Chicago,Pivotal Software,163500.0
Software Engineer II,Chicago,Civis Analytics,108500.0
Tech Lead | Engineering Manager,Chicago,Civis Analytics,132000.0
Intern-Civil Engineering,Hammond,Baird & Associates Ltd.,42000.0
Senior Software Engineer,Chicago,Civis Analytics,118000.0
Senior Front End Engineer,Chicago,"PhysIQ, Inc.",115000.0
Senior Scala Developer – Cloud Computing,Chicago,Enterprise Peak,140000.0
Senior Devops Engineer,Chicago,Tempus,114000.0
DevOps Engineer,Chicago,Lumere,113000.0
Senior DevOps Engineer,Chicago,Civis Analytics,123000.0
Senior Software Engineer - Platform Team,Chicago,Fooda,123500.0
Senior DevOps Engineer,Chicago,Civis Analytics,126000.0
Data Quality Statistical Analyst,Phoenix,U.S. District Court - District of Arizona,59832.5
Data Scientist,Phoenix,Cyient,85500.0
Data Scientist,Phoenix,Soaren Management LLC,104000.0
Data Scientist - Machine Learning,Phoenix,Lighthouse,120000.0
"Data Scientist II - Phoenix, AZ",Phoenix,Freeport-McMoRan Copper & Gold,103000.0
"Data Scientist- Weather Radar (Chandler, AZ)",Chandler,Garmin,115500.0
Data Scientist II,Scottsdale,Discount Tire Corporate Careers,102500.0
Data Processing - Test Engineer,Scottsdale,"NantEnergy, Inc.",90500.0
Data Scientist,Chandler,Emailage,143500.0
Data Science & Analytics Manager,Phoenix,Cable One Inc.,115000.0
Industrial Engineer - Data Scientist,Tempe,ViaSat,114000.0
NLP DATA SCIENTIST / ANALYTIC CONSULTANT 4,Phoenix,Wells Fargo,103000.0
OPERATIONS RESEARCH,Phoenix,US Department of the Navy,98797.0
"Data Science Instructor, Sr Data Scientist",Phoenix,Galvanize,162000.0
"Director, AI and NLP Data Scientist",Phoenix,KPMG,95500.0
MATHEMATICIAN,Phoenix,US Department of the Navy,98797.0
"Director, Machine Learning Data Scientist",Phoenix,KPMG,122500.0
GENERAL PHYSICAL SCIENTIST,Phoenix,US Department of the Navy,67085.5
Epidemiology Program Manager,Phoenix,State of Arizona,65000.0
Physicist,Phoenix,US Department of the Navy,98797.0
TRANSPORTATION PLANNER MANAGER,Phoenix,State of Arizona,70000.0
Sr. DevOps Engineer - Machine Learning,Phoenix,CenturyLink,105500.0
Staff Civil/Structural Engineer - T&D Substation,Phoenix,Burns & McDonnell,96000.0
Backend Engineer,Phoenix,Radius AI,117500.0
Big Data Solutions Architect,Mesa,ClearScale,134000.0
Sr. Software Engineer,Scottsdale,CipherLoc Corporation,122000.0
Postdoctoral Fellow: Bioinformatics,Phoenix,Phoenix Children's Hospital & University of Arizon...,55842.0
SOFTWARE ENGINEER,Scottsdale,SYSTEMS ONCOLOGY,87500.0
Senior Data Science Engineer,Tempe,Carvana,125000.0
"Associate Underwriter, Data Analysis Rating Team, Casualty",New York,Liberty Mutual Insurance,63500.0
Data Scientist,New York,PepsiCo,132500.0
Data Scientist,New York,Civis Analytics,124000.0
"Data Scientist, Munich Engine",New York,Munich Re America,164000.0
"Data Scientist, Marketing",New York,Disney Streaming Services,111500.0
Data Scientist,New York,Citizen,124000.0
Data Scientist,New York,Morgan Stanley,174000.0
"Data Analyst, PNA",Manhattan,New York City NYC HOUSING AUTHORITY,89349.0
Data Scientist,New York,Apalon,141000.0
Data Scientist,New York,Oath Inc,126000.0
Data Scientist,New York,S&P Global Ratings,135000.0
Data Scientist,New York,New York State Office of the Attorney General,113500.0
Data Scientist,New York,FCB Global,112500.0
Customer Experience Analyst (Data Scientist),New York,Glassbox,136500.0
Data Scientist / Engineer,Armonk,IBM,103000.0
Data Scientist,Manhattan,NewYork-Presbyterian Hospital,133500.0
Data Scientist (NYC),New York,"Attorney General, Office of the",116500.0
Data Scientist,New York,ZocDoc,132000.0
Data Scientist,New Hartford,Utica National Insurance and Founders Insurance,80500.0
RESEARCH SCIENTIST,Manhattan,New York City HRA/DEPT OF SOCIAL SERVICES,78803.0
Data Scientist II (Forecasting & Scheduling),New York,Grubhub,118000.0
Data Scientist,New York,Komodo Health,156500.0
Policy and Data Analyst,Manhattan,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
Technical Research Analyst,New York,New York University,48000.0
Data Scientist,New York,comScore,93000.0
"Data Scientist, Advanced Marketing Analytics",New York,Spotify,142500.0
Data Scientist Senior,Canastota,Northeast Information Discovery,107500.0
Marketing Data Scientist Intern,New York,Medidata Solutions,115500.0
Trade Surveillance Data Scientist - Vice President,New York,Deutsche Bank,105000.0
"Data Scientist, Engagement",New York,WeWork,134500.0
Special Investigator Advisor,New York,New York City BOARD OF CORRECTION,82653.0
Sr. Data Scientist,New York,MetroPlus Health Plan,140000.0
Program Analytics / Data Analysis Manager,Bronx,Osborne Association,57500.0
Director of Data Analytics,Queens,New York City DEPT OF DESIGN & CONSTRUCTION,110966.0
"Data Analyst, Bureau of Children, Youth and Families",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,78803.0
POLICY and OPERSTIONS RESEARCH | ANALYST,Manhattan,New York City OFFICE OF MANAGEMENT & BUDGET,61797.5
Research Scientist,Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
DATA RESEARCH SPECIALIST,Manhattan,New York City HRA/DEPT OF SOCIAL SERVICES,82653.0
"Data Scientist, Division Management & Systems Coordination",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,82012.5
Staff Data Scientist,New York,Bluecore,140000.0
Data Scientist - Investment Research,New York,"Two Sigma Investments, LLC.",136000.0
"Research Scientist 6, Nathan Kline Research Institute – Cent...",Orangeburg,"Mental Health, Office of",34130.0
Data Science Lead,New York,Comcast,128500.0
"Data Scientist, Computer Vision",New York,Etsy,140000.0
Project Associate/Research Analyst (REF# SJ042),Albany,"Empire State Development, NYS",52305.0
GIS Analyst,Queens,New York City DEPT OF ENVIRONMENT PROTECTION,62693.0
Title: Institutional Research Analyst,New York,"Hunter College, CUNY",42619.5
Computational Scientist,New York,Research Foundation of The City University of New...,56000.0
Software Engineer - Data,New York,PlaceIQ,165000.0
HIV Phylogenetic Data Analysis Group Leader,Manhattan,New York City DEPT OF HEALTH/MENTAL HYGIENE,91931.0
Senior Laboratory Scientist,Manhattan,New York City DEPT OF HEALTH/MENTAL HYGIENE,82175.0
Project Director,New York,New York City BOARD OF CORRECTION,78803.0
Research Software Engineer,Yorktown Heights,IBM,111500.0
Demographer,Manhattan,New York City DEPARTMENT OF CITY PLANNING,78803.0
Back-End Developer,New York,AIG,130500.0
ML Software Engineer,New York,Twitter,140000.0
Evaluation and Quality Improvement Specialist/Bureau of Chil...,Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,82653.0
Postdoctoral Researcher in Climate/Ocean Physics and Machine...,New York,New York University,56000.0
"Data Scientist - Principal - New York, NY",New York,Clarity Insights,145000.0
"Associate Librarian, Data Management Services",New York,Memorial Sloan Kettering,55000.0
Engineering Manager Data Science,New York,T. Rowe Price,152000.0
Systems Interface Analyst,New York,Weill Cornell Medicine,79000.0
"Research Coordinator, Bureau of Vital Statistics",Manhattan,New York City DEPT OF HEALTH/MENTAL HYGIENE,62272.0
"Technical Assistance Specialist, Bureau of Alcohol and Drug...",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
Cardiovascular Research Analyst,Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,91931.0
"Director of Data Analysis, Bureau of Early Intervention",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,92304.0
eCommerce Front End Engineer,New York,PepsiCo,116500.0
"Environmental Scientist, Bureau of Environmental Disease and...",Manhattan,New York City DEPT OF HEALTH/MENTAL HYGIENE,82175.0
"Project Assistant, Bureau of Alcohol and Drug Use Prevention...",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
Child Welfare Analyst,Manhattan,New York City ADMIN FOR CHILDREN'S SVCS,77035.0
"Deputy Chief, Industrial Pollution Prevention Unit",Manhattan,New York City DEPT OF ENVIRONMENT PROTECTION,74406.5
"Cost Price Analyst, Office of Vendor Research and Price Anal...",Brooklyn,New York City Department of Education .,70370.0
Research Director (Health & Mental Health),New York,New York City BOARD OF CORRECTION,78803.0
Permit Manager,Queens,New York City DEPT OF ENVIRONMENT PROTECTION,55435.0
Full Stack Developer,Manhattan,New York City DEPARTMENT OF CITY PLANNING,88158.5
"Project Coordinator, Bureau of Environmental Sciences and En...",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,80300.0
"Water Ecologist, Bureau of Environmental Sciences and Engine...",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,71696.0
Senior Advisor for Intergovernmental Affairs,Manhattan,New York City DEPT OF ENVIRONMENT PROTECTION,82321.5
Quality Management Specialist,Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
Bioinformatics Engineer II,New York,Memorial Sloan Kettering,127000.0
Middle School Science Teacher [2019-2020],New York,Harlem Village Academies,50000.0
AVP - PVAI - Inhouse SB Data Scientist - CPG - US,New York,Genpact,155500.0
"Director Data Scientist – Marketing Analytics, Advanced Mode...",New York,"Neustar, Inc.",167000.0
"Quality Assurance & Operations Coordinator, Bureau of Sexual...",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,82653.0
"Environmental Analyst, Bureau of Environmental Surveillance...",Manhattan,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
Data Scientist,Dallas,"City of Dallas, TX",107507.5
Data Scientist,Arlington,Integrity Applications Incorporated,132500.0
"Data Scientist, Analytics",Dallas,Emacity Shop,130000.0
Healthcare Data Science Consultant,Dallas,Accenture,134500.0
"Specialist Director, Machine Learning, Data Scientist",Dallas,KPMG,122500.0
Marketing Research Specialist,Richardson,Society of Petro Eng.,43000.0
Clinical Research Program Analyst,Dallas,Parkland Health and Hospital System,72000.0
Data Scientist - Security Incident Response,Dallas,Goldman Sachs,109500.0
Financial Analyst II - Hamon Center for Therapeutic Oncology...,Dallas,UT Southwestern Medical Center,57000.0
Systems Engineer - US,Richardson,ITL USA,89500.0
Senior Product Manager,Dallas,Givelify,122500.0
HL7 Integration Engineer,Dallas,Pieces Technologies,83500.0
Azure Application Architect,Dallas,Quisitive,169000.0
Data Scientist (Healthcare),Addison,ProForce Innovations,160000.0
Senior Healthcare Data Scientist,Carrollton,ProForce Innovations,160000.0
Junior Java Developer--Apply with Valid OPT-EAD CARD,Plano,Blue-E.,77500.0
Azure Infrastructure Architect (IaaS),Dallas-Fort Worth,Quisitive,148500.0
Data Scientist Internship,San Bruno,Walmart eCommerce,121000.0
Data Scientist - CA,San Francisco,Bind Benefits,164500.0
2019 University Graduate - Data Scientist - UberEverything,San Francisco,Uber,145000.0
"Data Scientist, Lifecyle",San Francisco,Slack,134000.0
Data Scientist,San Francisco,Esurance,127500.0
Data Scientist,San Francisco,Spin Electric Scooters,147000.0
Data Scientist - Insurance,San Francisco,Blue Owl,275000.0
Data Scientist,San Mateo,Owler,126500.0
Data Scientist,Richmond,Coherent Germany,131500.0
Data Scientist,San Francisco,Maven Wave Partners,125000.0
Data Scientist,San Carlos,Upstart,135000.0
Data Scientist- ML and AI,San Francisco,Ericsson,163500.0
Staff Data Scientist,San Bruno,Walmart Stores,141500.0
Product Data Scientist,San Francisco,King.com,135000.0
Data Scientist,San Francisco,RiskIQ,127500.0
2019 PhD Data Scientist Internship - Forecasting and Anomaly...,San Francisco,Uber,135000.0
"Data Scientist, Revenue Programs, Google Customer Solutions",Redwood City,Google,106500.0
"Data Scientist, Safety Assessment",South San Francisco,Genentech,149500.0
Data Scientist | Model Development Group,San Francisco,Carbon Lighthouse,153000.0
"Data Scientist, Imaging, Personalized Healthcare (PHC)",South San Francisco,Genentech,163500.0
Environmental Engineer/Physical Scientist/Life Scientist,San Francisco,U.S. Federal Government,94531.0
"Data Science Instructor, Senior Data Scientist",San Francisco,Galvanize,179000.0
"Data Scientist, Product analytics",San Francisco,eBay Inc.,118500.0
"Data Scientist | E-Mobility, Optimization",San Francisco,Uber,134500.0
Data Scientist,Oakland,SoftVision - North America & UK,103000.0
Data Scientist,Oakland,Softvision,101500.0
PHC Data Scientist Analytics,South San Francisco,Genentech,133000.0
Data Scientist – Forecasting and Planning,Novato,2K Games,131500.0
"Software Engineer, Data Applications, Homes",San Francisco,Airbnb,142500.0
Data Science Manager,San Francisco,Twitter,163500.0
Machine Learning Engineer,San Francisco,Synapse Financial Technologies Inc,115000.0
"Mechanical Engineering Intern, 3-D Printing",Oakland,Mettler Toledo,72500.0
"Software Engineer, Imaging",San Francisco,Google,139500.0
Planning and Research Analyst,Redwood City,San Mateo County Community College District,110664.0
Data Science Manager,San Francisco,Accenture,146000.0
Data Scientist - Disease Genomics,South San Francisco,Calico,143500.0
Data Scientist,Emeryville,Canopy Health,136000.0
"Senior Product Manager, Data Analysis and Machine Learning",San Mateo,Coupa,147000.0
Back-End Software Engineer | Model Development Group,San Francisco,Carbon Lighthouse,137000.0
Data Warehouse Engineer,San Francisco,Komodo Health,132500.0
Strategic Planning and Analytics Manager,San Francisco,Adobe,110000.0
CRM System Analyst - North America,San Francisco,JUUL Labs,102500.0
Systems Software Engineer,San Francisco,Xcalar,148000.0
Full Stack Data Architect,Belmont,RingCentral,131500.0
Systems Engineer - Autonomous Vehicle Integrity,San Francisco,Cruise Automation,102500.0
"Manager, Data Science, Risk",San Carlos,Oportun,134000.0
Senior Software Engineer - Data Infrastructure,Burlingame,Lyra Health,133500.0
Lecturer - Sutardja Center for Entrepreneurship & Technology,Berkeley,University of California Berkeley,110100.0
"Director, Software Engineering and Data Systems",South San Francisco,Plenty,148500.0
Software Engineer ( Data Analytics/Java),San Rafael,FICO,125000.0
Software Engineer,San Francisco,BlackThorn Therapeutics,125500.0
Data Science Lead - Product Analytics,San Francisco,UserTesting,159500.0
Research Post Doctoral Fellow,Oakland,Kaiser Permanente,53500.0
"Software Engineer, Customer Engineering Team",San Francisco,Benchling,147500.0
Sponsor Funded Professional | Data Scientist,Atlanta,Georgia State University,70692.5
Health Scientist,Atlanta,Centers for Disease Control and Prevention,126767.5
Data Scientist,Atlanta,CBRE,95500.0
Data Scientist - Master's Entry Level Consultant - Atlanta,Atlanta,Capgemini,122500.0
